movie_title;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
Ghostbusters;Melissa McCarthy;Kristen Wiig;Kate McKinnon;Leslie Jones;Chris Hemsworth;Neil Casey;Charles Dance;Michael Kenneth Williams;Cecily Strong;Matt Walsh
Armageddon;Bruce Willis;Billy Bob Thornton;Ben Affleck;Liv Tyler;Will Patton;Steve Buscemi;William Fichtner;Michael Clarke Duncan;Peter Stormare;Owen Wilson
Men in Black II;Tommy Lee Jones;Will Smith;Rip Torn;Lara Flynn Boyle;Johnny Knoxville;Rosario Dawson;Tony Shalhoub;Patrick Warburton;Jack Kehler;David Cross
Beowulf;Ray Winstone;Angelina Jolie;Anthony Hopkins;Robin Wright;John Malkovich;Brendan Gleeson;Crispin Glover;Alison Lohman;Greg Ellis;Dominic Keating
Kung Fu Panda 3;Jack Black;Bryan Cranston;Dustin Hoffman;Angelina Jolie;J.K. Simmons;Jackie Chan;Seth Rogen;Lucy Liu;David Cross;Kate Hudson
Mission: Impossible - Ghost Protocol;Tom Cruise;Jeremy Renner;Simon Pegg;Paula Patton;Anil Kapoor;Josh Holloway;Ving Rhames;Miraj Grbic;Ivan Shvedoff;Samuli Edelmann
Rise of the Guardians;Chris Pine;Alec Baldwin;Jude Law;Isla Fisher;Hugh Jackman;Dakota Goyo;Khamani Griffin;Kamil McFadden;Georgie Grieve;Emily Nordwind
Fun with Dick and Jane;Jim Carrey;Alec Baldwin;Richard Jenkins;Angie Harmon;John Michael Higgins;Richard Burgi;Carlos Jacott;Aaron Michael Drozin;Gloria Garayua;Michelle Arthur
The Last Samurai;Tom Cruise;Ken Watanabe;William Atherton;Chad Lindberg;Billy Connolly;Tony Goldwyn;Shichinosuke Nakamura;Koyuki;Timothy Spall;Togo Igawa
Exodus: Gods and Kings;Christian Bale;Joel Edgerton;John Turturro;Aaron Paul;Ben Mendelsohn;Sigourney Weaver;Ben Kingsley;Hiam Abbass;Isaac Andrews;Ewen Bremner
Star Trek;Chris Pine;Zachary Quinto;Leonard Nimoy;Eric Bana;Bruce Greenwood;Karl Urban;Zoe Saldana;Simon Pegg;John Cho;Anton Yelchin
Spider-Man;Tobey Maguire;Willem Dafoe;Kirsten Dunst;James Franco;Cliff Robertson;Rosemary Harris;J.K. Simmons;Joe Manganiello;Bill Nunn;Michael Papajohn
How to Train Your Dragon 2;Jay Baruchel;Gerard Butler;Kristen Wiig;Jonah Hill;Cate Blanchett;Djimon Hounsou;Kit Harington;Christopher Mintz-Plasse;T.J. Miller;America Ferrera
Gods of Egypt;Brenton Thwaites;Nikolaj Coster-Waldau;Gerard Butler;Courtney Eaton;Elodie Yung;Chadwick Boseman;Geoffrey Rush;Abbey Lee;Bryan Brown;Emma Booth
Stealth;Josh Lucas;Jessica Biel;Jamie Foxx;Sam Shepard;Richard Roxburgh;Joe Morton;Ebon Moss-Bachrach;Michael Denkha;Clayton Adams;Rocky Helton
Watchmen;Billy Crudup;Carla Gugino;Jeffrey Dean Morgan;Patrick Wilson;Jackie Earle Haley;Matthew Goode;Matt Frewer;Stephen McHattie;Laura Mennell;Rob LaBelle
Lethal Weapon 4;Mel Gibson;Danny Glover;Joe Pesci;Rene Russo;Jet Li;Darlene Love;Traci Wolfe;Kim Chan;Steve Kahan;Damon Hines
Hulk;Eric Bana;Jennifer Connelly;Sam Elliott;Josh Lucas;Nick Nolte;Paul Kersey;Cara Buono;Stan Lee;Todd Tesen;Celia Weston
G.I. Joe: Retaliation;Dwayne Johnson;D.J. Cotrona;Adrianne Palicki;Bruce Willis;Ray Park;Channing Tatum;Lee Byung-hun;Elodie Yung;Ray Stevenson;Luke Bracey
Sahara;Matthew McConaughey;Steve Zahn;William H. Macy;Lennie James;Lambert Wilson;Rainn Wilson;Glynn Turman;Clint Dyer;Delroy Lindo;Robert Cavanah
Final Fantasy: The Spirits Within;Donald Sutherland;Ming-Na Wen;Alec Baldwin;Ving Rhames;Steve Buscemi;Peri Gilpin;James Woods;Jean Simmons;Keith David;
Captain America: The First Avenger;Chris Evans;Hugo Weaving;Tommy Lee Jones;Hayley Atwell;Sebastian Stan;Dominic Cooper;Samuel L. Jackson;Stanley Tucci;Toby Jones;Natalie Dormer
The World Is Not Enough;Pierce Brosnan;Sophie Marceau;Robert Carlyle;Denise Richards;Robbie Coltrane;Desmond Llewelyn;John Cleese;Maria Grazia Cucinotta;Samantha Bond;Michael Kitchen
Master and Commander: The Far Side of the World;Russell Crowe;Paul Bettany;James D'Arcy;Billy Boyd;Joseph Morgan;Edward Woodall;Chris Larkin;Max Pirkis;Jack Randall;Max Benitz
The Twilight Saga: Breaking Dawn - Part 2;Kristen Stewart;Robert Pattinson;Taylor Lautner;Peter Facinelli;Elizabeth Reaser;Ashley Greene;Jackson Rathbone;Kellan Lutz;Nikki Reed;Billy Burke
The Incredible Hulk;Edward Norton;Liv Tyler;Tim Roth;William Hurt;Tim Blake Nelson;Ty Burrell;Christina Cabot;Peter Mensah;Lou Ferrigno;Paul Soles
The BFG;Ruby Barnhill;Mark Rylance;Rebecca Hall;Jemaine Clement;Bill Hader;Penelope Wilton;Marilyn Norry;Chris Shields;Matt Frewer;Geoffrey Wade
The Revenant;Leonardo DiCaprio;Tom Hardy;Will Poulter;Domhnall Gleeson;Paul Anderson;Brad Carter;Kristoffer Joner;Lukas Haas;Brendan Fletcher;Joshua Burge
Turbo;Ryan Reynolds;Paul Giamatti;Samuel L. Jackson;Bill Hader;Snoop Dogg;Maya Rudolph;Ben Schwartz;Richard Jenkins;Ken Jeong;Michelle Rodriguez
Rango;Johnny Depp;Isla Fisher;Ned Beatty;Bill Nighy;Alfred Molina;Abigail Breslin;Claudia Black;Timothy Olyphant;Ray Winstone;Stephen Root
Penguins of Madagascar;Tom McGrath;Chris Miller;Christopher Knights;Conrad Vernon;John Malkovich;Benedict Cumberbatch;Ken Jeong;Annet Mahendru;Peter Stormare;Andy Richter
The Bourne Ultimatum;Matt Damon;Julia Stiles;David Strathairn;Scott Glenn;Paddy Considine;Albert Finney;Joan Allen;Tom Gallop;Corey Johnson;Joey Ansah
Kung Fu Panda;Jack Black;Dustin Hoffman;Angelina Jolie;Jackie Chan;Lucy Liu;David Cross;Randall Duk Kim;James Hong;Dan Fogler;Ian McShane
Ant-Man;Paul Rudd;Michael Douglas;Evangeline Lilly;Corey Stoll;Bobby Cannavale;T.I.;Anthony Mackie;Wood Harris;Judy Greer;Abby Ryder Fortson
The Hunger Games: Catching Fire;Jennifer Lawrence;Josh Hutcherson;Liam Hemsworth;Woody Harrelson;Elizabeth Banks;Lenny Kravitz;Philip Seymour Hoffman;Jeffrey Wright;Stanley Tucci;Donald Sutherland
Home;Jim Parsons;Rihanna;Steve Martin;Jennifer Lopez;Matt Jones;Brian Stepanek;April Lawrence;Stephen Kearin;Brian Stepanek;Lisa Stewart
War of the Worlds;Tom Cruise;Dakota Fanning;Miranda Otto;Justin Chatwin;Tim Robbins;Camillia Sanes;John Scurti;Morgan Freeman;Takayo Fischer;Yul Vazquez
Bad Boys II;Martin Lawrence;Will Smith;Gabrielle Union;Peter Stormare;Theresa Randle;Joe Pantoliano;Michael Shannon;Jon Seda;Yul Vazquez;Jason Manuel Olazabal
Puss in Boots;Antonio Banderas;Salma Hayek;Zach Galifianakis;Billy Bob Thornton;Amy Sedaris;Guillermo del Toro;Constance Marie;Mike Mitchell;Rich Dietl;Ryan Crego
Salt;Angelina Jolie;Liev Schreiber;Chiwetel Ejiofor;Daniel Olbrychski;August Diehl;Daniel Pearce;Hunt Block;Andre Braugher;Olek Krupa;Cassidy Hinkle
Noah;Russell Crowe;Jennifer Connelly;Emma Watson;Logan Lerman;Anthony Hopkins;Ray Winstone;Kevin Durand;Ariane Rinehart;Douglas Booth;Marton Csokas
The Adventures of Tintin;Jamie Bell;Andy Serkis;Daniel Craig;Nick Frost;Simon Pegg;Cary Elwes;Mackenzie Crook;Tony Curran;Toby Jones;Daniel Mays
Harry Potter and the Prisoner of Azkaban;Daniel Radcliffe;Rupert Grint;Emma Watson;Gary Oldman;David Thewlis;Alan Rickman;Michael Gambon;Robbie Coltrane;Tom Felton;Emma Thompson
Australia;Nicole Kidman;Hugh Jackman;Essie Davis;David Wenham;Bryan Brown;David Gulpilil;John Jarratt;Shea Adams;Nathin Butler;John Walton
After Earth;Jaden Smith;Will Smith;Sophie Okonedo;Glenn Morshower;Chris Geere;Diego Klattenhoff;David Denman;Lincoln Lewis;Jaden Martin;Sincere L. Bobb
Dinosaur;D. B. Sweeney;Alfre Woodard;Ossie Davis;Max Casella;Hayden Panettiere;Samuel E. Wright;Julianna Margulies;Peter Siragusa;Joan Plowright;Della Reese
Night at the Museum: Secret of the Tomb;Ben Stiller;Rami Malek;Rebel Wilson;Robin Williams;Owen Wilson;Dick Van Dyke;Rachael Harris;Ben Kingsley;Ricky Gervais;Mickey Rooney
Megamind;Will Ferrell;Brad Pitt;Tina Fey;Jonah Hill;David Cross;Ben Stiller;Justin Theroux;Jessica Schulte;Tom McGrath;Emily Nordwind
R.I.P.D.;Jeff Bridges;Ryan Reynolds;Kevin Bacon;Stephanie Szostak;Mary-Louise Parker;Marisa Miller;Robert Knepper;James Hong;Mike O'Malley;Devin Ratray
Pirates of the Caribbean: The Curse of the Black Pearl;Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley;Jack Davenport;Jonathan Pryce;Kevin McNally;Zoe Saldana;Lee Arenberg;Mackenzie Crook
The Hunger Games: Mockingjay - Part 1;Jennifer Lawrence;Josh Hutcherson;Liam Hemsworth;Woody Harrelson;Donald Sutherland;Philip Seymour Hoffman;Julianne Moore;Willow Shields;Sam Claflin;Elizabeth Banks
The Da Vinci Code;Tom Hanks;Audrey Tautou;Ian McKellen;Paul Bettany;Jean Reno;Alfred Molina;Jean-Yves Berteloot;Jean-Pierre Marielle;Agathe Natanson;Tina Maskell
Rio 2;Jesse Eisenberg;Anne Hathaway;Leslie Mann;Jamie Foxx;Bruno Mars;Jemaine Clement;Rodrigo Santoro;Jake T. Austin;Amandla Stenberg;Pierce Gagnon
Fast Five;Vin Diesel;Paul Walker;Jordana Brewster;Tyrese Gibson;Ludacris;Matt Schulze;Sung Kang;Gal Gadot;Don Omar;Joaquim de Almeida
Sherlock Holmes: A Game of Shadows;Robert Downey Jr.;Jude Law;Jared Harris;Noomi Rapace;Kelly Reilly;Geraldine James;Eddie Marsan;Stephen Fry;William Houston;Affif Ben Badra
Clash of the Titans;Sam Worthington;Liam Neeson;Ralph Fiennes;Gemma Arterton;Jason Flemyng;Alexa Davalos;Tine Stapelfeldt;Mads Mikkelsen;Luke Evans;Izabella Miko
Total Recall;Arnold Schwarzenegger;Sharon Stone;Rachel Ticotin;Ronny Cox;Michael Ironside;Marshall Bell;Roy Brocksmith;Ray Baker;Rosemary Dunsmore;Dean Norris
The 13th Warrior;Antonio Banderas;Vladimir Kulich;Daniel Southern;Clive Russell;Mischa Hausserman;Richard Bremmer;Diane Venora;Neil Maffin;John DeSantis;Oliver Sveinall
The Bourne Legacy;Jeremy Renner;Rachel Weisz;Edward Norton;Scott Glenn;Stacy Keach;Joan Allen;Donna Murphy;Albert Finney;Michael Chernus;Oscar Isaac
Batman & Robin;George Clooney;Chris O'Donnell;Arnold Schwarzenegger;Uma Thurman;Alicia Silverstone;Michael Gough;Pat Hingle;Elle Macpherson;John Glover;Vivica A. Fox
How the Grinch Stole Christmas;;;;;;;;;;
The Day After Tomorrow;Dennis Quaid;Jake Gyllenhaal;Emmy Rossum;Dash Mihok;Jay O. Sanders;Sela Ward;Austin Nichols;Arjay Smith;Tamlyn Tomita;Sasha Roiz
Mission: Impossible II;Tom Cruise;Dougray Scott;Thandie Newton;Ving Rhames;Richard Roxburgh;John Polson;Brendan Gleeson;Rade Serbedzija;William Mapother;Dominic Purcell
The Perfect Storm;George Clooney;Mark Wahlberg;Diane Lane;John C. Reilly;William Fichtner;Bob Gunton;Karen Allen;Allen Payne;Mary Elizabeth Mastrantonio;John Hawkes
Fantastic 4: Rise of the Silver Surfer;Ioan Gruffudd;Jessica Alba;Chris Evans;Michael Chiklis;Julian McMahon;Kerry Washington;Andre Braugher;Laurence Fishburne;Doug Jones;Beau Garrett
Life of Pi;Suraj Sharma;Irrfan Khan;Ayush Tandon;Gautam Belur;Adil Hussain;Tabu;Ayaan Khan;Mohd Abbas Khaleeli;Vibish Sivakumar;Rafe Spall
Ghost Rider;Nicolas Cage;Eva Mendes;Wes Bentley;Donal Logue;Sam Elliott;Peter Fonda;Brett Cullen;Matt Long;Raquel Alessi;Tony Ghosthawk
Jason Bourne;Matt Damon;Alicia Vikander;Tommy Lee Jones;Vincent Cassel;Julia Stiles;Riz Ahmed;Ato Essandoh;Scott Shepherd;Bill Camp;Vinzenz Kiefer
Charlie's Angels: Full Throttle;Cameron Diaz;Drew Barrymore;Lucy Liu;Bernie Mac;Robert Patrick;Demi Moore;John Cleese;Matt LeBlanc;Luke Wilson;Shia LaBeouf
Prometheus;Noomi Rapace;Michael Fassbender;Guy Pearce;Idris Elba;Logan Marshall-Green;Charlize Theron;Lucy Hutchinson;Sean Harris;Rafe Spall;Kate Dickie
Stuart Little 2;Michael J. Fox;Geena Davis;Hugh Laurie;Jonathan Lipnicki;Anna Hoelck;Ashley Hoelck;Nathan Lane;Melanie Griffith;James Woods;Steve Zahn
Elysium;Matt Damon;Jodie Foster;Sharlto Copley;Alice Braga;Diego Luna;Wagner Moura;William Fichtner;Faran Tahir;Jose Pablo Cantillo;Maxwell Perry Cotton
The Chronicles of Riddick;Vin Diesel;Thandie Newton;Karl Urban;Colm Feore;Linus Roache;Keith David;Yorick van Wageningen;Nick Chinlund;Alexa Davalos;Roger Cross
RoboCop;Joel Kinnaman;Gary Oldman;Michael Keaton;Abbie Cornish;Jackie Earle Haley;Michael Kenneth Williams;Jennifer Ehle;Jay Baruchel;Marianne Jean-Baptiste;Samuel L. Jackson
Speed Racer;Emile Hirsch;Christina Ricci;Matthew Fox;Susan Sarandon;Scott Porter;John Goodman;Ariel Winter;Nicholas Elia;Hiroyuki Sanada;Art LaFleur
How Do You Know;Reese Witherspoon;Paul Rudd;Owen Wilson;Jack Nicholson;Kathryn Hahn;Molly Price;Shelley Conn;Tony Shalhoub;Mark Linn-Baker;Lenny Venito
Knight and Day;Tom Cruise;Cameron Diaz;Peter Sarsgaard;Viola Davis;Paul Dano;Maggie Grace;Marc Blucas;Celia Weston;Dale Dye;Falk Hentschel
Oblivion;Tom Cruise;Morgan Freeman;Olga Kurylenko;Andrea Riseborough;Nikolaj Coster-Waldau;Melissa Leo;Abigail Lowe;Isabelle Lowe;David Madison;John L. Armijo
Star Wars: Episode III - Revenge of the Sith;Ewan McGregor;Natalie Portman;Hayden Christensen;Ian McDiarmid;Samuel L. Jackson;Christopher Lee;Anthony Daniels;Kenny Baker;Frank Oz;Jimmy Smits
Star Wars: Episode II - Attack of the Clones;Ewan McGregor;Natalie Portman;Hayden Christensen;Ian McDiarmid;Samuel L. Jackson;Christopher Lee;Anthony Daniels;Kenny Baker;Frank Oz;Ahmed Best
Monsters, Inc.;John Goodman;Billy Crystal;Mary Gibbs;Steve Buscemi;James Coburn;Jennifer Tilly;Bob Peterson;John Ratzenberger;Frank Oz;Steve Susskind
The Wolverine;Hugh Jackman;Hiroyuki Sanada;Famke Janssen;Will Yun Lee;Tao Okamoto;Rila Fukushima;Svetlana Khodchenkova;Haruhiko Yamanouchi;Brian Tee;Patrick Stewart
Star Wars: Episode I - The Phantom Menace;Liam Neeson;Ewan McGregor;Natalie Portman;Jake Lloyd;Ian McDiarmid;Anthony Daniels;Kenny Baker;Pernilla August;Frank Oz;Oliver Ford Davies
The Croods;Nicolas Cage;Emma Stone;Ryan Reynolds;Catherine Keener;Cloris Leachman;Clark Duke;Chris Sanders;Randy Thom;;
Windtalkers;Nicolas Cage;Adam Beach;Peter Stormare;Noah Emmerich;Mark Ruffalo;Jason Isaacs;Christian Slater;Frances O'Connor;Keith Campbell;Martin Henderson
The Huntsman: Winter's War;Chris Hemsworth;Charlize Theron;Emily Blunt;Jessica Chastain;Nick Frost;Sheridan Smith;Rob Brydon;Alexandra Roach;Sam Claflin;Colin Morgan
Teenage Mutant Ninja Turtles;Megan Fox;Will Arnett;William Fichtner;Alan Ritchson;Noel Fisher;Pete Ploszek;Johnny Knoxville;Jeremy Howard;Danny Woodburn;Tony Shalhoub
Gravity;Sandra Bullock;George Clooney;Ed Harris;Orto Ignatiussen;Phaldut Sharma;Amy Warren;Basher Savage;;;
Dante's Peak;Pierce Brosnan;Linda Hamilton;Jeremy Foley;Elizabeth Hoffman;Charles Hallahan;Grant Heslov;Kirk Trutner;Arabella Field;Tzi Ma;Brian Reddy
Fantastic Four;Miles Teller;Kate Mara;Michael B. Jordan;Jamie Bell;Toby Kebbell;Reg E. Cathey;Tim Blake Nelson;Joshua Montes;Dan Castellaneta;Owen Judge
Night at the Museum;Ben Stiller;Jake Cherry;Carla Gugino;Robin Williams;Dick Van Dyke;Mickey Rooney;Bill Cobbs;Ricky Gervais;Kim Raver;Patrick Gallagher
San Andreas;Dwayne Johnson;Alexandra Daddario;Carla Gugino;Ioan Gruffudd;Archie Panjabi;Paul Giamatti;Hugo Johnstone-Burt;Art Parkinson;Colton Haynes;Kylie Minogue
Tomorrow Never Dies;Pierce Brosnan;Jonathan Pryce;Michelle Yeoh;Teri Hatcher;Ricky Jay;Joe Don Baker;Vincent Schiavelli;Judi Dench;Desmond Llewelyn;Samantha Bond
The Patriot;Mel Gibson;Heath Ledger;Joely Richardson;Jason Isaacs;Chris Cooper;Lisa Brenner;Tom Wilkinson;Leon Rippy;Donal Logue;Adam Baldwin
Ocean's Twelve;George Clooney;Brad Pitt;Catherine Zeta-Jones;Julia Roberts;Casey Affleck;Scott Caan;Shaobo Qin;Bernie Mac;Don Cheadle;Matt Damon
Mr. & Mrs. Smith;;;;;;;;;;
Insurgent;Shailene Woodley;Theo James;Kate Winslet;Ansel Elgort;Miles Teller;Naomi Watts;Maggie Q;Jai Courtney;Ray Stevenson;Octavia Spencer
The Aviator;Leonardo DiCaprio;Cate Blanchett;Kate Beckinsale;John C. Reilly;Alec Baldwin;Alan Alda;Ian Holm;Jude Law;Kelli Garner;Danny Huston
Gulliver's Travels;Jack Black;Amanda Peet;Emily Blunt;Jason Segel;Chris O'Dowd;Billy Connolly;Catherine Tate;James Corden;Emmanuel Quatra;Olly Alexander
The Green Hornet;Seth Rogen;Jay Chou;Christoph Waltz;Cameron Diaz;Edward Furlong;Tom Wilkinson;Edward James Olmos;Analeigh Tipton;Chad L. Coleman;Robert Clotworthy
300: Rise of an Empire;Sullivan Stapleton;Eva Green;Lena Headey;Callan Mulvey;David Wenham;Rodrigo Santoro;Jack O'Connell;Andrew Tiernan;Ashraf Barhom;Andrew Pleavin
The Smurfs;Hank Azaria;Neil Patrick Harris;Jayma Mays;Tim Gunn;Jonathan Winters;Katy Perry;Fred Armisen;Alan Cumming;Anton Yelchin;George Lopez
Home on the Range;Roseanne Barr;Judi Dench;Jennifer Tilly;Steve Buscemi;G. W. Bailey;Cuba Gooding Jr.;Randy Quaid;Lance LeGault;Charles Dennis;Sam Levine
Allegiant;Shailene Woodley;Theo James;Miles Teller;Naomi Watts;Ansel Elgort;Jeff Daniels;Octavia Spencer;Keiynan Lonsdale;Daniel Dae Kim;Maggie Q
Real Steel;Hugh Jackman;Dakota Goyo;Evangeline Lilly;Anthony Mackie;Kevin Durand;Hope Davis;James Rebhorn;Karl Yune;Olga Fonda;John Gatins
The Smurfs 2;Hank Azaria;Neil Patrick Harris;Brendan Gleeson;Jayma Mays;Jonathan Winters;Katy Perry;Christina Ricci;J.B. Smoove;Anton Yelchin;George Lopez
Speed 2: Cruise Control;Sandra Bullock;Jason Patric;Willem Dafoe;Temuera Morrison;Mike Hagerty;Colleen Camp;Joe Morton;Glenn Plummer;Bo Svenson;Kimmy Robertson
Ender's Game;Asa Butterfield;Harrison Ford;Hailee Steinfeld;Abigail Breslin;Ben Kingsley;Viola Davis;Aramis Knight;Suraj Partha;Khylin Rhambo;Jimmy 'Jax' Pinchak
Live Free or Die Hard;Bruce Willis;Justin Long;Timothy Olyphant;Cliff Curtis;Maggie Q;Mary Elizabeth Winstead;Kevin Smith;Yancey Arias;Christina Chang;Yorgo Constantine
The Lord of the Rings: The Fellowship of the Ring;Elijah Wood;Ian McKellen;Cate Blanchett;Orlando Bloom;Sean Bean;Viggo Mortensen;Hugo Weaving;Liv Tyler;John Rhys-Davies;Christopher Lee
Around the World in 80 Days;Jackie Chan;Steve Coogan;Robert Fyfe;Jim Broadbent;Ian McNeice;David Ryall;Roger Hammond;Adam Godley;Will Forte;Mark Addy
Ali;Will Smith;Jamie Foxx;Jon Voight;Mario Van Peebles;Ron Silver;Jeffrey Wright;Mykelti Williamson;Jada Pinkett Smith;Nona Gaye;Michael Michele
The Cat in the Hat;Mike Myers;Dakota Fanning;Spencer Breslin;Kelly Preston;Alec Baldwin;Amy Hill;Sean Hayes;Danielle Ryan Chuchran;Taylor Rice;Brittany Oaks
I, Robot;Will Smith;Bridget Moynahan;Alan Tudyk;James Cromwell;Bruce Greenwood;Shia LaBeouf;Chi McBride;Jerry Wasserman;Peter Shinkoda;Terry Chen
Kingdom of Heaven;Orlando Bloom;Eva Green;Jeremy Irons;Marton Csokas;Brendan Gleeson;Liam Neeson;Edward Norton;Michael Sheen;Ghassan Massoud;Velibor Topic
Stuart Little;Michael J. Fox;Geena Davis;Hugh Laurie;Jonathan Lipnicki;Nathan Lane;Jeffrey Jones;Connie Ray;Allyce Beasley;Brian Doyle-Murray;Estelle Getty
The Princess and the Frog;Anika Noni Rose;Bruno Campos;Keith David;Michael-Leon Wooley;Jennifer Cody;Jim Cummings;Peter Bartlett;Jenifer Lewis;Oprah Winfrey;Terrence Howard
The Martian;Matt Damon;Jessica Chastain;Kristen Wiig;Jeff Daniels;Sean Bean;Kate Mara;Sebastian Stan;Aksel Hennie;Chiwetel Ejiofor;Benedict Wong
The Island;Ewan McGregor;Scarlett Johansson;Djimon Hounsou;Sean Bean;Steve Buscemi;Michael Clarke Duncan;Ethan Phillips;Brian Stepanek;Noa Tishby;Siobhan Flynn
Town & Country;Warren Beatty;Diane Keaton;Goldie Hawn;Garry Shandling;Andie MacDowell;Nastassja Kinski;Jenna Elfman;Charlton Heston;Josh Hartnett;Katharine Towne
Gone in Sixty Seconds;Nicolas Cage;Angelina Jolie;Giovanni Ribisi;Delroy Lindo;Will Patton;Christopher Eccleston;Chi McBride;Robert Duvall;Scott Caan;Timothy Olyphant
Gladiator;Russell Crowe;Joaquin Phoenix;Connie Nielsen;Oliver Reed;Richard Harris;Derek Jacobi;Djimon Hounsou;David Schofield;John Shrapnel;Tomas Arana
Minority Report;Tom Cruise;Colin Farrell;Samantha Morton;Max von Sydow;Lois Smith;Peter Stormare;Tim Blake Nelson;Steve Harris;Kathryn Morris;Mike Binder
Harry Potter and the Chamber of Secrets;Daniel Radcliffe;Rupert Grint;Emma Watson;Richard Harris;Alan Rickman;Tom Felton;Kenneth Branagh;Robbie Coltrane;Maggie Smith;David Bradley
Casino Royale;Daniel Craig;Eva Green;Mads Mikkelsen;Judi Dench;Jeffrey Wright;Giancarlo Giannini;Caterina Murino;Simon Abkarian;Jesper Christensen;Tobias Menzies
Planet of the Apes;Mark Wahlberg;Tim Roth;Helena Bonham Carter;Michael Clarke Duncan;Kris Kristofferson;Estella Warren;Paul Giamatti;Cary-Hiroyuki Tagawa;Glenn Shadix;Charlton Heston
Terminator 2: Judgment Day;Arnold Schwarzenegger;Linda Hamilton;Robert Patrick;Edward Furlong;Michael Edwards;Joe Morton;Earl Boen;Jenette Goldstein;Xander Berkeley;S. Epatha Merkerson
Public Enemies;Christian Bale;Johnny Depp;Giovanni Ribisi;Billy Crudup;Marion Cotillard;Emilie de Ravin;Channing Tatum;Leelee Sobieski;Domenick Lombardozzi;Stephen Lang
American Gangster;Denzel Washington;Russell Crowe;Chiwetel Ejiofor;Josh Brolin;Lymari Nadal;Ted Levine;Roger Guenveur Smith;John Hawkes;RZA;Yul Vazquez
True Lies;Arnold Schwarzenegger;Jamie Lee Curtis;Tom Arnold;Bill Paxton;Tia Carrere;Art Malik;Eliza Dushku;Grant Heslov;Charlton Heston;Marshall Manesh
The Taking of Pelham 1 2 3;Denzel Washington;John Travolta;Victor Gojcaj;John Turturro;James Gandolfini;Michael Rispoli;Chance Kelly;Alice Kremelberg;Jason Butler Harner;John Benjamin Hickey
Little Fockers;Robert De Niro;Ben Stiller;Owen Wilson;Dustin Hoffman;Barbra Streisand;Teri Polo;Blythe Danner;Jessica Alba;Harvey Keitel;Laura Dern
The Other Guys;Will Ferrell;Mark Wahlberg;Eva Mendes;Samuel L. Jackson;Dwayne Johnson;Michael Keaton;Brett Gelman;Ray Stevenson;Roy T. Anderson;Larnell Stovall
Eraser;Arnold Schwarzenegger;James Caan;Vanessa Williams;James Coburn;Robert Pastorelli;James Cromwell;Danny Nucci;Nick Chinlund;Michael Papajohn;Joe Viterelli
Django Unchained;Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington;Samuel L. Jackson;Walton Goggins;Dennis Christopher;James Remar;David Steen;Dana Gourrier
The Hunchback of Notre Dame;Tom Hulce;Demi Moore;Tony Jay;Kevin Kline;Paul Kandel;Charles Kimbrough;Jason Alexander;Mary Wickes;David Ogden Stiers;Mary Kay Bergman
The Emperor's New Groove;David Spade;John Goodman;Eartha Kitt;Patrick Warburton;Wendie Malick;Kellyann Kelso;Eli Russell Linnetz;Stephen J. Anderson;Bob Bergen;Patti Deutsch
The Expendables 2;Sylvester Stallone;Jason Statham;Dolph Lundgren;Bruce Willis;Arnold Schwarzenegger;Jean-Claude Van Damme;Chuck Norris;Scott Adkins;Liam Hemsworth;Jet Li
National Treasure;Nicolas Cage;Diane Kruger;Justin Bartha;Sean Bean;Jon Voight;Harvey Keitel;Christopher Plummer;David Dayan Fisher;Stewart Finlay-McLennan;Oleg Taktarov
Eragon;Ed Speleers;Jeremy Irons;Sienna Guillory;Robert Carlyle;Djimon Hounsou;Garrett Hedlund;Joss Stone;Rachel Weisz;John Malkovich;Alun Armstrong
Where the Wild Things Are;Max Records;Catherine Keener;Lauren Ambrose;James Gandolfini;Catherine O'Hara;Forest Whitaker;Mark Ruffalo;Pepita Emmerichs;Madeleine Greaves;Joshua Jay
Epic;Josh Hutcherson;Amanda Seyfried;Colin Farrell;Jason Sudeikis;Aziz Ansari;Judah Friedlander;Steven Tyler;Pitbull;Blake Anderson;Christoph Waltz
The Tourist;Johnny Depp;Angelina Jolie;Paul Bettany;Timothy Dalton;Steven Berkoff;Rufus Sewell;Christian De Sica;Alessio Boni;Daniele Pecci;Giovanni Guidelli
